=====================================
INSTRUÇÕES
=====================================
Com base nas informações da tabela abaixo, preciso realizar estas etapas de análise:


1) Calcular a quantidade de dias agenciados (contract_days) consecutivos para a mesma empresa (company_id) por motorista (driver_id) de modo que cada periodo consecutivo rodado pela mesmoa empresa deve ser contabilizado separadamente.
1) Em seguida Calcular contagem de contratos consecutivos para a mesma empresa (company_id) por motorista (driver_id) de modo que cada periodo consecutivo rodado pela mesmoa empresa deve ser contabilizado separadamente.
3) Média de dias por contratos no periodo consecutivo  de modo que cada periodo consecutivo rodado pela mesmoa empresa deve ser contabilizado separadamente.


=====================================
TABELA
=====================================

Nome da tabela: freights.

id    |status|company_id|truck_id|origin|destination|driver_id|price |duration|distance|round_trip|description                                                                                                                                                                                                                                                    |created_at             |updated_at             |load_id|end_at                 |start_at               |deleted_at|px_commission|day_of_week|hour_of_day|type|daily_price|nf                                          |nf_px|reason|nr_nf|nr_nf_px|has_checked_insurance|insurance_approved_at  |type_id|final_payment_receipt                                       |final_payment_obs|billing_date           |express_summary_id|vehicle_id|supply_id|daily_tip|overnight_at|company_contact_phone|contract_days|company_ideal_profile_id|automatic_selec
  8437|   300|       249|    2049|   575|           |    18230|500000|   11520|       0|true      |Sejam Bem Vindos a TRANSPORTES TOZZO.¶- Alexandre Santin, GERENTE DE OPERAÇÕES da Transportes Tozzo, responsável pela operação Motorista PX, incluindo Instruções Iniciais, Validações de Documentos, Reembolso, Autorização de Pagamentos, Inclusão e Retirada|2022-09-08 17:08:44.000|2023-09-15 14:49:28.000|      2|2022-09-28 21:00:00.000|2022-09-08 21:00:00.000|          |       125000|          4|         21|1   |      25000|YCAG5cMnrBXkUJNPR62J0v6lDX3MXnFQG3UHYRpA.pdf|     |      |3    |        |true                 |2022-09-08 18:06:21.000|      5|WiAjUAbkwBMkjK1tvAQuqZOOb832cdacd2a9bb0268b6a703d9409e55.pdf|                 |2022-09-29 09:25:42.000|                  |          |         |         |            |                     |           20|                        |false          
  5759|   900|       249|    1495|   329|           |         |120000|    7200|       0|true      |Sejam Bem Vindos a TRANSPORTES TOZZO.¶- Alexandre Santin, GERENTE DE OPERAÇÕES da Transportes Tozzo, responsável pela operação Motorista PX, incluindo Instruções Iniciais, Validações de Documentos, Reembolso, Autorização de Pagamentos, Inclusão e Retirada|2022-05-24 17:18:47.000|2023-09-15 14:28:51.000|      2|2022-05-31 12:00:00.000|2022-05-26 12:00:00.000|          |        30000|          3|         12|1   |      24000|                                            |     |     2|     |        |false                |                       |      5|                                                            |                 |2022-05-31 12:00:00.000|                  |          |         |         |            |                     |            5|                        |false          
  7953|   300|       454|    1863|   600|           |    12604|125000|    2490|       0|true      |- Tipo de veículo: Carreta Sider¶- Serviço por valor diário, sendo valor de R$ 250,00 ( Duzentos e cinquenta reais) por dia de serviço.¶- Serão 10 dias de viagem, partindo de São José dos Pinhais/PR para carregar em Betim/MG e depois indo para Cortoba na |2022-08-22 15:32:43.000|2023-09-15 14:29:32.000|      6|2022-08-27 12:00:00.000|2022-08-22 18:30:00.000|          |        35000|          1|         18|1   |      25000|9p6QfZEz3279qduNAc94R72hPR5kdwJ4guzWK8Jk.pdf|     |      |6    |        |true                 |2022-08-22 17:32:03.000|      5|tNVHlbAI7fKWO1urPfZFrb4Ed15acce3213f7bede962d15b98f662ec.pdf|                 |2022-08-29 15:47:25.000|                  |          |         |         |            |                     |            5|                        |false          
  8168|   300|       289|    1199|   351|           |    26879|100000|    2879|       0|true      |Serviço por valor diário, sendo o valor de R$ 250,00 (duzentos e quarenta reais) por dia de serviço.¶- Tipo de Caminhão: MERCEDEZ AXOR 2036 LS¶- Operação de Industrializados, clientes como Heineken, YPE, Yara, Sumitomo, Salina, Dusul, etc..¶- Carreta BAÚ,|2022-08-29 17:32:00.000|2023-09-15 14:29:35.000|      4|2022-09-02 14:00:00.000|2022-08-29 14:00:00.000|          |        27000|          1|         21|1   |      25000|ytIheY53YrKMRCw9zkFY0leIVTAPSQ6gbtaBV78A.pdf|     |      |5    |        |true                 |2022-08-30 09:16:31.000|      5|XYCIkAVopusAKk80wqa6bYbA64f241574fa0ab22e768b76d7465cc70.pdf|                 |2022-10-21 00:00:00.000|                  |          |         |         |            |                     |            4|                        |false          
 34033|   900|       608|    3475|  1342|           |         | 21000|     600|        |          |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia. ¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA ¶¶- NOSSAS TAREFAS SÃO DE SEGUNDA A SÁBADO. ¶- SERÃO (Á) 1 DIA(S) DE CONTRATO|2023-08-24 08:04:59.000|2023-09-15 14:37:14.000|      5|2023-08-25 17:30:00.000|2023-08-25 07:30:00.000|          |         5460|          5|          7|3   |      21000|                                            |     |     4|     |        |false                |                       |       |                                                            |                 |                       |             24152|         3|        3|        0|           2|5515991523166        |            1|                        |false          
 40210|   900|      1669|   12259|  3067|           |         | 23575|     600|        |true      |Cervejaria Petrópolis        Itaipava .. galpão vermelho ao lado do antigo mercado costa azul                                                                                                      .                                                           |2023-10-02 16:46:54.000|2023-10-02 22:28:19.000|      4|2023-10-03 17:30:00.000|2023-10-03 07:30:00.000|          |         6129|          2|          7|1   |      23000|                                            |     |     0|     |        |false                |                       |       |                                                            |                 |                       |             29999|         2|       22|        0|            |                     |            1|                        |false          
 90069|   300|      2426|        |  4884|           |   101478| 95000|    5880|        |          |DETALHES DO SERVIÇO:¶⬤ SERVIÇO: Carga e Descarga**/ Movimentação de Estoque/ Coletas e Entregas**/ Conferência¶⬤ O AJUDANTE poderá acompanhar o motorista nas coletas/entregas diárias.¶⬤ Atestado de Saúde Ocupacional (ASO) deverá ser apresentado pelo Prest|2024-06-25 09:20:31.000|2024-07-03 10:01:17.000|       |2024-07-02 08:00:00.000|2024-06-27 21:00:00.000|          |        26600|          4|          7|2   |      19000|66f628b4-c316-431d-8551-b674be0b807a.pdf    |     |      |5    |        |true                 |2024-06-27 14:58:25.000|       |efRYdw7CMrWgGXdjsxXa4Dfyfce20105abe6ca1fd5517e138d777b3b.pdf|                 |2024-07-02 20:00:11.000|                  |          |         |        0|           2|                     |            5|                        |false          
 38846|   300|        22|     993|   113|           |    22624| 50000|    1860|        |true      |- Rota PORTO ALEGRE X CHAPECO X ERECHIM X PASSO FUNDO¶- Experiência em Carreta.¶- Necessário possuir MOPP em dia.¶- Viagem inicia xxxx¶- Se apresentar ao Coordenador da operação.¶- Viagem será rastreada, portanto deverá enviar as macros.¶- Limite de veloc|2023-09-26 14:09:26.000|2023-09-29 10:44:00.000|      5|2023-09-28 05:00:00.000|2023-09-26 22:00:00.000|          |        15000|          2|         22|1   |      25000|f2051e02-73ad-4d0d-a435-2fde4ef5a25e.pdf    |     |      |10   |        |true                 |2023-09-26 15:06:14.000|       |uZAsFeupkTVRYdTSL15GyMV78bc495881958e0e3ea71c74b6e9229f9.pdf|                 |2023-09-28 00:00:00.000|             28788|         8|        1|        0|            |                     |            2|                        |false          
 11322|   300|       298|    2719|   394|           |    29125|275000|    9600|        |true      |- Tipo de veículo: Carreta Sider - Serviço por valor diário, sendo valor de R$ 250,00 (duzentos e cinquenta reais) por dia de serviço. - Serão 10 dias de viagem, partindo de Itajaí/SC para destinos indicados pela empresa e retornando para Itajaí/SC. - O m|2022-11-28 16:56:07.000|2023-09-15 14:30:34.000|      4|2022-12-10 00:00:00.000|2022-11-29 08:00:00.000|          |        71500|          2|          8|1   |      25000|99Zsex4GDcyoOKzBKMo2E9rUgxaYxEQwekalG4QR.pdf|     |      |1    |        |true                 |2022-11-30 08:15:34.000|       |1ZgbCE9NV9WBFNJBx2Hnoxonf207c5b14e0826576b7c820e52897e05.pdf|                 |2022-12-13 14:33:52.000|              1755|         8|        4|        0|            |                     |           11|                        |false          
 23069|   300|        36|     732|    63|           |     1713|182000|   12960|        |true      |Serviço por valor diário, sendo o valor de R$ 260,00 (duzentos e sessenta reais) por dia de serviço.¶- Tipo de Caminhão: Carreta Vanderléia ou LS¶¶- Ao chegar se apresentar ao Sr. Leandro para trocas de informações.¶((( O motorista precisa estar vacinado |2023-05-10 14:46:46.000|2023-09-15 14:43:37.000|      4|2023-05-18 15:00:00.000|2023-05-11 15:00:00.000|          |        45500|          4|         15|1   |      26000|971bd4cd-2ddd-419c-94eb-58fd86da4e4c.jpeg   |     |      |19   |        |true                 |2023-05-10 15:14:27.000|       |kvJ76mT5TTL1CoQ6D8Qkcvzj7574eb01fbd4e4b3939c37e81d40e532.pdf|                 |2023-05-17 16:50:00.000|             13446|         8|        4|     1000|            |                     |            7|                        |false          
 34535|   900|       939|    5312|  1586|           |         | 21000|    1020|        |true      |- Ideal que o MOTORISTA RESIDA PRÓXIMO, pois NA MAIORIA DOS DIAS NÃO TERA PERNOITE NA EMPRESA, e nesses casos o motorista deverá voltar para casa no final do expediente, retornando para base no dia seguinte.¶- Tipo do Veículo: 3/4 Frigorificado ¶- O motor|2023-08-28 14:30:23.000|2023-09-15 14:57:06.000|      2|2023-08-29 23:00:00.000|2023-08-29 06:00:00.000|          |         5565|          2|          6|1   |      21000|                                            |     |     2|     |        |false                |                       |       |                                                            |                 |                       |             24654|         3|        2|        0|            |                     |            1|                        |false          
 17849|   300|       608|    2732|  1325|           |    57672| 21000|     570|        |true      |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia.¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA.¶¶- SERÁ 1 DIA DE CONTRATO- caso  haja necessidade no SÁBADO o responsável da |2023-03-01 20:19:17.000|2023-09-15 14:42:53.000|      5|2023-03-02 17:30:00.000|2023-03-02 08:00:00.000|          |         5460|          4|          8|1   |      21000|PoWj26XdJWvN48ZutVMzZR6iixIQogifV2FHjmUB.pdf|     |      |9    |        |true                 |2023-03-01 21:00:15.000|       |VNouNwUM3AsCzrZ2TiCG9ZaLdc1de594b183c98aec08ca98ec0eb611.pdf|                 |2023-03-03 11:56:55.000|              8295|         3|        3|        0|            |                     |            1|                        |false          
 21106|   300|       608|    2732|  1332|           |    50903| 60000|     540|        |          |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia.¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA - NOSSAS TAREFAS SÃO DE SEGUNDA A SEXTA.¶¶- SERÁ 1 DIA DE CONTRATO- caso  haja|2023-04-17 18:44:40.000|2023-09-15 14:43:20.000|      5|2023-04-20 17:00:00.000|2023-04-18 08:00:00.000|          |        15600|          2|          8|3   |      20000|020bd745-5320-4e58-9788-404e986043f6.png    |     |      |16   |        |true                 |2023-04-17 18:59:22.000|       |6DlpnCS8fZ767acN0OY1UAI5b6b022b3ff21ff89a70c79846438d523.pdf|                 |2023-04-21 13:57:04.000|             11506|         2|        3|        0|           2|15991861223          |            3|                        |false          
 24590|   900|       608|    2732|  1345|           |         | 20000|     600|        |          |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia. ¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA ¶¶- NOSSAS TAREFAS SÃO DE SEGUNDA A SEXTA. ¶- SERÁ 1 4 DIA DE CONTRATO- a con|2023-05-26 19:21:47.000|2023-09-15 14:34:04.000|      5|2023-05-27 18:00:00.000|2023-05-27 08:00:00.000|          |         5200|          6|          8|3   |      20000|                                            |     |     0|     |        |false                |2023-05-26 20:03:25.000|       |                                                            |                 |                       |             14952|         2|        3|        0|           2|                     |            1|                        |false          
 18023|   900|       608|    2732|  1266|           |         |120000|    7860|        |true      |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia.¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA.¶¶- SERÃO 6 DIAS DE CONTRATO ¶- a contabilização das diárias serão efetivament|2023-03-03 15:03:18.000|2023-09-15 14:50:21.000|      5|2023-04-01 18:00:00.000|2023-03-27 07:00:00.000|          |        31200|          1|          7|1   |      20000|                                            |     |     2|     |        |false                |                       |       |                                                            |                 |                       |              8467|         2|        3|        0|            |                     |            6|                        |false          
 18784|   900|       608|    2732|  1250|           |         |120000|    7830|        |true      |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia.¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA - NOSSAS TAREFAS SÃO DE SEGUNDA A SEXTA.¶¶- SERÃO 6 DIAS DE CONTRATO- caso  ha|2023-03-14 19:01:10.000|2023-09-15 14:32:21.000|      5|2023-04-01 18:00:00.000|2023-03-27 07:30:00.000|          |        31200|          1|          7|1   |      20000|                                            |     |     0|     |        |false                |                       |       |                                                            |                 |                       |              9222|         2|        3|        0|            |                     |            6|                        |false          
 92003|   900|      2426|        |  5724|           |         | 77200|    5040|        |          |DETALHES DO SERVIÇO:¶⬤ SERVIÇO: Carga e Descarga**/ Movimentação de Estoque/ Coletas e Entregas**/ Conferência¶⬤ O AJUDANTE poderá acompanhar o motorista nas coletas/entregas diárias.¶⬤ Atestado de Saúde Ocupacional (ASO) deverá ser apresentado pelo Prest|2024-07-02 15:28:07.000|2024-07-06 16:51:29.000|       |2024-07-07 09:00:00.000|2024-07-03 21:00:00.000|          |        21616|          3|          9|2   |      19300|                                            |     |     6|     |        |false                |                       |       |                                                            |                 |                       |                  |          |         |        0|           2|                     |            4|                        |false          
 79932|   900|      1601|   10834|  3076|           |         | 21000|     540|        |          |DETALHES DO SERVIÇO:¶⬤ TIPO DE CAMINHÃO: 3/4, TOCO ou TRUCK.¶(A placa e modelo do caminhão será de acordo com a disponibilidade da unidade.)¶¶⬤ VEÍCULOS COM SIDER: o motorista deverá abrir, fechar e fazer as amarrações necessárias, zelando pelo equipament|2024-05-07 06:48:25.000|2024-05-07 08:22:10.000|      5|2024-05-07 18:00:00.000|2024-05-07 09:00:00.000|          |         5460|          2|          9|3   |      21000|                                            |     |     1|     |        |false                |                       |       |                                                            |                 |                       |             67023|         2|        3|        0|           2|5584988776080        |            1|                        |false          
 38249|   300|       608|    2732|  1153|           |   106027| 20000|     600|        |          |- O Motorista TERÁ AJUDANTE, porém irá auxiliar o ajudante EM TODAS AS ENTREGAS do dia. ¶¶- MOTORISTA PRECISA RESIDIR PRÓXIMO A UNIDADE DE DISTRIBUIÇÃO, POIS RETORNARÁ PARA CASA ¶¶- NOSSAS TAREFAS SÃO DE SEGUNDA A SÁBADO. ¶- SERÃO (Á) 1 DIA(S) DE CONTRATO|2023-09-22 18:20:17.000|2023-09-24 12:34:25.000|      5|2023-09-23 17:30:00.000|2023-09-23 07:30:00.000|          |         5200|          6|          7|3   |      20000|53f7966a-a5c6-4371-84f8-6ce70320baf8.pdf    |     |      |8    |        |true                 |2023-09-22 19:47:19.000|       |Zy2zgHWjPjMuby8SXKM36Q9r8fc8a87532910cf06fecd613df97be68.pdf|                 |2023-09-24 12:18:31.000|             28256|         2|        3|        0|           2|                     |            1|                        |false          
 34536|   900|       939|    4302|  1586|           |         | 20000|    1020|        |true      |- Ideal que o MOTORISTA RESIDA PRÓXIMO, pois NA MAIORIA DOS DIAS NÃO TERA PERNOITE NA EMPRESA, e nesses casos o motorista deverá voltar para casa no final do expediente, retornando para base no dia seguinte.¶- Tipo do Veículo: 3/4 Frigorificado ¶- O motor|2023-08-28 14:30:49.000|2023-09-15 14:57:07.000|      2|2023-08-29 23:00:00.000|2023-08-29 06:00:00.000|          |         5300|          2|          6|1   |      20000|                                            |     |     0|     |        |false                |                       |       |                                                            |                 |                       |             24655|         2|        2|        0|            |                     |            1|                        |false          
 23070|   300|      1023|    4954|  1711|           |    72971|297000|   10080|        |true      |- Tipo de veículo: Carreta Vanderléia tampa baixa.¶- Motorista deverá manuserar lona, cintas e abertura de tampas da carreta.¶ - Motorista precisara realizar o treinamento de integração na empresa, no primeiro dia ¶12/05/2023 no período da manhã, seguindo|2023-05-10 14:57:14.000|2023-09-15 14:43:37.000|      4|2023-05-26 08:00:00.000|2023-05-15 08:00:00.000|          |        87615|          5|          8|1   |      27000|534d5269-a3c8-4f63-b50c-e6b6f4e25e4f.pdf    |     |      |1    |        |true                 |2023-05-12 16:18:54.000|       |EWCoKCyIhw420MOxh3Fm7OUeebce1f79e5afe9e907558018d4aca5de.pdf|                 |2023-05-28 11:11:15.000|             13447|         9|       19|        0|            |                     |           11|                        |false          
 11323|   300|       446|    2741|   578|           |     1063|275000|   14400|        |true      |- Tipo de veículo: Carreta Sider.¶- Serviço por valor diário, sendo valor de R$ 250,00 (Duzentos e cinquenta reais) por dia de serviço.¶- Serão 10 dias de viagem, partindo de Curitiba/PR para destinos indicados pela empresa, incluindo RJ e retornando para|2022-11-28 16:57:34.000|2023-09-15 14:30:34.000|      6|2022-12-09 19:00:00.000|2022-11-28 19:00:00.000|          |        77000|          1|         19|1   |      25000|JG3dErDHQaoKdhTf6Oz54IE48XV2cjhOZznlkkcN.pdf|     |      |83   |        |true                 |2022-11-28 17:00:27.000|       |DRSsvyb5Kpt8x3AmrPpEaRPQ63d7c444f3fdcb1899fca373879e7c29.pdf|                 |2022-12-09 15:15:10.000|              1756|         8|        4|        0|            |                     |           11|                        |false          
  7080|   300|       120|    1429|   460|        460|    18912|130000|    7920|       0|false     |LEIA COM ATENÇÃO!!¶- RG PRECISA estar em dia (máximo 10 ANOS) e EM MÃOS para atravessar a fronteira dos países Argentina, Chile ou Peru.¶- Comprovante de vacinação do COVID-19 precisa estar em dia e em mãos para atravessar a fronteira dos países Argentina|2022-07-22 16:29:02.000|2023-09-15 14:41:35.000|      4|2022-08-01 20:00:00.000|2022-07-27 08:00:00.000|          |        32500|          3|          8|0   |          0|xM1mjUzUeABHiVpWiRj3crvNw3hxfF90bAcZmkJs.jpg|     |      |7    |        |true                 |2022-07-26 16:22:28.000|      3|XzbgGSfz6qlphwZsPg7BF0p7oxI5Xm77svYmcwE9.jpg                |                 |2022-08-01 20:00:00.000|                  |          |         |         |            |                     |            6|                        |false          
